Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,ppi,Cpu Brand,SSD,HDD,Gpu Brand,OS
Dell,Ultrabook,8,1.22,52161,1,1,165.6321180513006,Intel Core i5,128,0,Intel,Windows
Asus,Netbook,2,0.98,10224,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,53227,0,1,141.21199808219862,Intel Core i5,128,1024,Nvidia,Windows
HP,Notebook,4,1.86,13746,0,0,100.45466986113651,AMD Processor,0,500,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,43636,1,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Ultrabook,8,1.91,35112,0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
Dell,Notebook,4,2.3,22305,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Apple,Ultrabook,8,1.35,58555,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,42624,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Dell,Ultrabook,8,1.88,69157,0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
HP,Notebook,8,2.5,47739,0,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Chuwi,Notebook,4,1.89,13053,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,10603,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,23390,0,0,127.33567457123111,AMD Processor,0,500,AMD,Windows
Dell,Ultrabook,16,1.2,99580,1,0,276.053530085501,Intel Core i7,512,0,Intel,Windows
Apple,Ultrabook,8,1.35,53173,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,13267,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,19554,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,52161,0,1,127.33567457123111,Intel Core i5,128,1024,AMD,Windows
HP,Notebook,4,1.86,26037,0,0,100.45466986113651,Intel Core i5,0,1024,Intel,Windows
HP,Notebook,8,2.1,46833,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Notebook,4,2.0,20726,0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,79867,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,8,2.3,27865,0,0,100.45466986113651,Intel Core i5,0,1024,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,36337,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,53227,1,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Apple,Ultrabook,8,1.37,75604,0,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
Lenovo,Notebook,4,2.2,19660,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,69211,0,0,127.33567457123111,AMD Processor,256,1024,AMD,Windows
Dell,Notebook,4,2.3,34046,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Asus,Notebook,4,2.8,24828,0,0,90.58340172449303,Other Intel Processor,0,1024,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,16996,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,44808,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,4,1.86,21232,0,0,141.21199808219862,AMD Processor,256,0,AMD,Windows
HP,Notebook,8,1.49,58768,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Acer,Notebook,4,2.4,20460,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Notebook,8,2.13,40908,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
HP,Notebook,4,1.91,23390,0,0,141.21199808219862,Intel Core i3,128,0,Intel,Windows
Asus,Notebook,4,2.0,31232,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
MSI,Gaming,16,2.43,130483,0,0,127.33567457123111,Intel Core i7,256,2048,Nvidia,Windows
Asus,Notebook,4,2.0,22111,0,0,141.21199808219862,Intel Core i3,256,0,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,69211,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
Dell,Ultrabook,8,1.7,46833,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Lenovo,Notebook,8,1.7,31915,0,1,157.3505121487356,Intel Core i3,256,0,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,50136,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
HP,Notebook,8,1.86,36763,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Asus,Ultrabook,16,1.8,105654,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
HP,Notebook,4,1.86,23373,0,0,100.45466986113651,Intel Core i3,0,500,AMD,Windows
HP,Notebook,4,1.44,12201,0,0,111.93520355955211,Other Intel Processor,32,0,Intel,Windows
Lenovo,Notebook,4,1.9,29251,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
Asus,Gaming,12,3.0,50563,0,0,127.33567457123111,Intel Core i7,0,1024,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,58022,1,0,200.84255993695703,Intel Core i5,128,0,Intel,Windows
Dell,Ultrabook,8,1.4,50882,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
Dell,Notebook,8,2.2,46354,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
MSI,Gaming,8,2.7,58342,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Acer,Notebook,8,2.1,20726,0,0,111.93520355955211,Intel Core i3,0,1024,Intel,Windows
Asus,Gaming,8,2.2,50563,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
Lenovo,Notebook,8,2.2,27652,0,0,141.21199808219862,Intel Core i5,0,2048,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,45554,0,0,141.21199808219862,Intel Core i7,128,1024,Intel,Windows
Acer,Notebook,4,2.2,28238,0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Windows
HP,Notebook,8,2.5,52055,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Dell,Ultrabook,8,1.88,58403,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Apple,Ultrabook,8,0.92,80453,0,1,226.41554716935852,Intel Core i5,512,0,Intel,Mac
HP,Notebook,8,1.63,45821,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Lenovo,Notebook,4,2.2,21259,0,0,141.21199808219862,AMD Processor,128,0,AMD,Windows
Acer,Notebook,4,2.1,21046,0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
Dell,Gaming,16,2.65,71875,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
HP,Ultrabook,8,1.83,37243,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,8,1.96,31914,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Asus,Gaming,16,2.2,77203,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
Dell,Ultrabook,8,1.21,87859,0,1,165.6321180513006,Intel Core i7,256,0,Intel,Windows
Asus,Gaming,8,2.45,37243,0,0,141.21199808219862,AMD Processor,0,1024,AMD,Windows
Acer,Notebook,8,2.2,36710,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
HP,Notebook,16,1.49,63776,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Dell,Gaming,8,2.65,63670,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Ultrabook,8,1.25,55891,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,45128,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.2,31963,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Others/No OS/Linux
Dell,Notebook,4,2.2,25841,0,0,141.21199808219862,Intel Core i3,256,0,AMD,Others/No OS/Linux
Asus,Notebook,6,2.0,30743,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
HP,Gaming,12,2.62,66547,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
HP,Notebook,8,1.91,38308,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
HP,Notebook,4,2.1,18595,0,0,141.21199808219862,AMD Processor,0,500,AMD,Windows
Dell,Notebook,8,2.2,34472,0,0,141.21199808219862,Intel Core i5,0,1024,AMD,Others/No OS/Linux
HP,Ultrabook,8,1.38,59620,0,1,165.6321180513006,Intel Core i7,256,0,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,71395,1,0,200.84255993695703,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,1.58,35112,0,1,157.3505121487356,Intel Core i5,256,0,Nvidia,Windows
Lenovo,Notebook,4,1.85,22106,0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
Asus,Ultrabook,8,1.3,63563,0,1,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
MSI,Gaming,16,2.2,69211,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Lenovo,Notebook,8,1.58,78854,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Asus,Ultrabook,16,1.5,67239,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Dell,Ultrabook,8,1.23,73473,1,0,276.053530085501,Intel Core i7,256,0,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,74539,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Notebook,4,1.63,38468,0,1,111.93520355955211,Intel Core i5,0,500,Intel,Windows
Dell,Ultrabook,8,1.21,86793,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,2 in 1 Convertible,8,1.26,74538,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Notebook,8,1.63,57756,0,0,157.3505121487356,Intel Core i7,512,0,Intel,Windows
Dell,Notebook,8,2.16,60224,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,4,2.0,30050,0,0,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
Asus,Notebook,8,1.7,59567,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Acer,Notebook,6,2.1,25521,1,1,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
MSI,Gaming,16,1.8,119427,0,0,141.21199808219862,Intel Core i7,256,2048,Nvidia,Windows
Lenovo,Notebook,8,2.2,33513,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
HP,Notebook,16,2.5,67719,0,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
Acer,Notebook,4,2.1,24029,0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
HP,Notebook,4,1.86,13800,0,0,100.45466986113651,Other Intel Processor,0,500,Intel,Others/No OS/Linux
HP,Notebook,8,1.63,43263,0,0,157.3505121487356,Intel Core i5,0,1024,Intel,Windows
Asus,Notebook,4,1.65,14811,0,0,111.93520355955211,AMD Processor,64,0,AMD,Windows
Dell,Notebook,16,2.8,74379,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
HP,Notebook,8,2.5,49444,0,0,127.33567457123111,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.36,34045,0,0,100.45466986113651,Intel Core i5,0,1024,AMD,Windows
Dell,Notebook,4,2.2,23923,0,0,141.21199808219862,Intel Core i3,0,1024,AMD,Windows
Acer,Ultrabook,8,1.6,47100,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Acer,Notebook,4,2.2,30476,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
HP,Notebook,8,2.05,31861,0,0,100.45466986113651,Intel Core i7,0,1024,Intel,Windows
HP,Notebook,8,1.63,52641,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Lenovo,Notebook,4,1.9,13446,0,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Others/No OS/Linux
Asus,Gaming,8,3.0,49977,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Lenovo,Notebook,4,2.2,26587,0,0,141.21199808219862,Intel Core i5,0,1024,Nvidia,Others/No OS/Linux
HP,Notebook,4,1.32,37243,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Acer,Notebook,4,3.0,34898,0,1,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
Lenovo,Notebook,8,1.75,59462,0,1,157.3505121487356,Intel Core i5,256,0,AMD,Windows
Lenovo,Gaming,8,2.4,46300,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,2.1,32075,0,0,100.45466986113651,Intel Core i5,0,500,Intel,Windows
HP,Notebook,4,1.86,19660,0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
Asus,Ultrabook,8,1.25,58555,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
HP,Ultrabook,8,0.97,107306,1,1,352.4651472131677,Other Intel Processor,512,0,Intel,Windows
Asus,Notebook,4,2.0,18328,0,0,141.21199808219862,Other Intel Processor,0,1024,Intel,Windows
MSI,Gaming,16,2.9,108105,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,4,2.1,23816,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Gaming,16,2.56,66561,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
Dell,Gaming,8,2.62,47899,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,26533,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
MSI,Gaming,16,2.8,100699,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Ultrabook,4,1.48,57649,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,1.91,32980,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,33513,1,1,157.3505121487356,Intel Core i3,256,0,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,70063,1,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,55891,1,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
Toshiba,Notebook,4,2.1,23816,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
Asus,Notebook,4,2.03,21472,0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
Acer,Notebook,4,3.0,42890,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
Dell,Notebook,8,2.13,38788,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Lenovo,Gaming,16,2.5,57489,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Acer,Notebook,4,2.1,18541,0,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Windows
MSI,Gaming,16,2.4,95851,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,4,2.1,19368,0,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Windows
Dell,Gaming,8,2.56,56503,0,0,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
Acer,Notebook,8,3.0,45501,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
HP,Notebook,4,1.49,40173,0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
Huawei,Ultrabook,8,1.05,71875,0,1,199.69207064108247,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,2.71,37243,0,1,127.33567457123111,Intel Core i5,0,2048,AMD,Windows
Lenovo,Notebook,4,2.2,16464,0,0,100.45466986113651,AMD Processor,0,500,AMD,Others/No OS/Linux
Toshiba,Notebook,4,2.0,26054,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
HP,Notebook,8,2.5,49177,0,0,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
Dell,Notebook,8,2.3,24456,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Acer,Notebook,4,2.1,23923,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
MSI,Gaming,32,4.4,149131,0,0,119.7232157653423,Intel Core i7,512,1024,Nvidia,Windows
Lenovo,Notebook,8,1.9,43317,0,0,141.21199808219862,Intel Core i5,128,1024,AMD,Windows
HP,2 in 1 Convertible,8,1.29,79867,1,1,331.2642361026012,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,16,2.02,55891,0,0,141.21199808219862,Intel Core i7,256,2048,AMD,Others/No OS/Linux
Dell,Ultrabook,8,1.23,74539,0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,98515,1,1,316.96506044349616,Intel Core i7,512,0,Intel,Windows
Toshiba,Notebook,8,2.0,42251,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
Xiaomi,Notebook,8,1.95,63883,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
Dell,Notebook,16,2.77,82531,1,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
Dell,Notebook,16,2.06,127712,1,0,282.42399616439724,Intel Core i7,512,0,Nvidia,Windows
Lenovo,Gaming,8,2.4,41505,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,1.12,52694,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.8,57809,0,0,127.33567457123111,Intel Core i7,128,1024,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,150463,1,0,209.8006828649808,Intel Core i7,1024,0,Intel,Windows
Vero,Notebook,4,1.3,13853,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,53275,0,1,165.6321180513006,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,2.8,37189,0,0,106.11306214269258,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,44702,1,1,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
HP,Notebook,8,2.5,48698,0,1,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Razer,Gaming,32,3.49,324955,1,0,254.67134914246222,Intel Core i7,1024,0,Nvidia,Windows
HP,Notebook,8,1.49,51096,0,0,165.6321180513006,Intel Core i5,512,0,Intel,Windows
HP,Gaming,16,3.35,73473,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Notebook,8,2.5,55678,0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
Dell,Gaming,16,2.65,98302,0,1,282.42399616439724,Intel Core i7,512,1024,Nvidia,Windows
Lenovo,Notebook,4,2.1,26267,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
Acer,Notebook,8,2.23,39534,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
Lenovo,Gaming,16,3.2,93187,0,1,141.21199808219862,Intel Core i7,512,1024,Nvidia,Windows
Dell,Workstation,16,2.8,162770,0,0,282.42399616439724,Other Intel Processor,256,1024,Nvidia,Windows
Lenovo,Gaming,16,2.4,74485,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Others/No OS/Linux
Dell,Notebook,6,2.3,23390,1,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Ultrabook,8,1.21,103843,1,1,331.2642361026012,Intel Core i7,256,0,Intel,Windows
Dell,Ultrabook,8,1.2,77203,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
Lenovo,Notebook,8,2.2,31808,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
Acer,Notebook,8,2.4,41505,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Others/No OS/Linux
Asus,Gaming,16,2.9,74965,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Notebook,4,2.1,18595,0,0,141.21199808219862,Intel Core i3,0,500,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,29251,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,79867,0,1,199.69207064108247,Intel Core i7,512,0,Intel,Windows
Dell,Ultrabook,8,1.4,49651,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
Lenovo,Notebook,8,2.8,31382,0,0,106.11306214269258,Intel Core i5,0,1024,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,54932,0,0,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
Dell,Ultrabook,8,1.6,61219,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,68145,1,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Dell,Notebook,8,2.2,36089,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,47899,0,1,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Toshiba,Ultrabook,8,1.2,72621,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
HP,Notebook,8,2.1,42304,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
Dell,Gaming,16,4.42,130874,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,8,2.2,44329,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Dell,Notebook,16,2.3,45768,1,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
Asus,Notebook,8,2.0,40972,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Notebook,8,2.69,47472,0,0,127.33567457123111,Intel Core i5,256,500,Nvidia,Windows
HP,Notebook,8,1.9,67612,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
Asus,Notebook,4,2.37,21258,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
HP,Notebook,4,2.1,17582,0,0,100.45466986113651,AMD Processor,0,500,AMD,Windows
Lenovo,Gaming,16,3.2,79867,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Dell,Notebook,8,1.6,45768,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,36710,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,16,2.36,47899,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Others/No OS/Linux
Acer,Notebook,4,2.1,20779,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Others/No OS/Linux
Asus,Notebook,4,2.2,30636,0,0,141.21199808219862,AMD Processor,128,1024,AMD,Windows
Asus,Gaming,32,4.7,207259,0,0,127.33567457123111,Intel Core i7,512,1024,Nvidia,Windows
Acer,Gaming,8,2.5,45075,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,31382,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
Asus,Notebook,8,2.1,61006,0,0,127.33567457123111,Intel Core i7,128,1024,Nvidia,Windows
Asus,Notebook,8,2.69,47366,0,0,127.33567457123111,Intel Core i7,128,1024,Nvidia,Others/No OS/Linux
Dell,Gaming,8,2.56,46833,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,57489,1,1,158.48253022174808,Intel Core i7,256,0,Intel,Windows
Dell,Notebook,8,2.2,52481,0,0,141.21199808219862,Intel Core i7,128,2048,AMD,Windows
HP,Notebook,8,2.04,29784,1,0,100.45466986113651,Intel Core i5,0,1024,Intel,Windows
Asus,Gaming,16,3.6,159787,0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,4,1.49,35964,0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
Apple,Ultrabook,8,1.37,108691,0,1,226.98300468106115,Intel Core i5,512,0,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,43636,1,1,141.21199808219862,Intel Core i7,0,1024,Intel,Windows
Asus,Gaming,16,4.3,95851,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,4,1.68,24988,0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
Lenovo,2 in 1 Convertible,8,1.37,98515,1,1,158.48253022174808,Intel Core i7,512,0,Intel,Windows
Acer,Notebook,4,3.0,37403,0,1,127.33567457123111,Intel Core i3,256,0,Nvidia,Windows
Dell,Ultrabook,8,1.41,50563,0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Notebook,8,1.91,23758,0,0,100.45466986113651,AMD Processor,128,0,AMD,Windows
HP,Notebook,16,2.9,56424,0,1,127.33567457123111,Intel Core i7,0,1024,Nvidia,Windows
MSI,Gaming,16,4.14,133147,0,0,127.33567457123111,Intel Core i7,512,1024,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,2.0,90523,1,1,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
Dell,Notebook,8,2.8,60846,0,0,127.33567457123111,Intel Core i7,128,1024,AMD,Windows
