Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,Price,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem
HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,1.86,18381,1,0,0,0,1920,1080,1,0,0,,,500.0,,2.0,Intel,Intel,freedos/other
Apple,Ultrabook,15.4,Intel Core i7 2.8GHz,16,AMD Radeon Pro 555,1.83,130001,0,1,0,1,2880,1800,0,1,0,,,,256.0,2.8,Intel,AMD,macos
Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,2.2,26581,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.0,Intel,AMD,windows
Apple,Ultrabook,12.0,Intel Core M m3 1.2GHz,8,Intel HD Graphics 615,0.92,67260,0,1,0,1,2304,1440,0,1,0,,,,256.0,1.2,Intel,Intel,macos
Apple,Ultrabook,13.3,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,1.37,80908,0,1,0,1,2560,1600,0,1,0,,,,256.0,2.3,Intel,Intel,macos
Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,2.2,39693,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,AMD,windows
Apple,Ultrabook,15.4,Intel Core i7 2.9GHz,16,AMD Radeon Pro 560,1.83,152274,0,1,0,1,2880,1800,0,1,0,,,,512.0,2.9,Intel,AMD,macos
Lenovo,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8,Nvidia GeForce 940MX,2.2,26586,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.4,Intel,Nvidia,freedos/other
Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.22,52161,1,1,1,0,1920,1080,0,1,0,,,,128.0,1.6,Intel,Intel,windows
Asus,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,2,Intel HD Graphics 400,0.98,10224,0,0,0,0,1366,768,0,0,1,32.0,,,,1.44,Intel,Intel,windows
Lenovo,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,2.5,53226,1,1,0,0,1920,1080,1,1,0,,1.0,,128.0,2.5,Intel,Nvidia,windows
HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4,AMD Radeon R2,1.86,13746,0,0,0,0,1366,768,1,0,0,,,500.0,,1.5,AMD,AMD,freedos/other
Dell,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.62,43636,1,0,1,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
HP,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8,Intel HD Graphics 620,1.91,35111,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Intel,windows
Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,2.3,22305,0,0,0,0,1366,768,1,0,0,,1.0,,,2.0,Intel,Intel,windows
Apple,Ultrabook,13.3,Intel Core i5 1.6GHz,8,Intel HD Graphics 6000,1.35,58554,0,0,0,0,1440,900,0,0,1,128.0,,,,1.6,Intel,Intel,macos
Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 530,2.2,42624,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,AMD,windows
Dell,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,8,Intel UHD Graphics 620,1.88,69157,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.9,Intel,Intel,windows
HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX,2.5,47738,1,0,0,0,1920,1080,1,0,0,,1.0,,,1.6,Intel,Nvidia,windows
Chuwi,Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,4,Intel HD Graphics,1.89,13053,1,0,0,0,1920,1080,0,0,1,64.0,,,,1.44,Intel,Intel,windows
Asus,Notebook,14.0,AMD E-Series E2-6110 1.5GHz,2,AMD Radeon R2,1.65,10602,0,0,0,0,1366,768,0,0,1,32.0,,,,1.5,AMD,AMD,windows
HP,Notebook,17.3,AMD A6-Series 9220 2.5GHz,4,AMD Radeon 530,2.71,23389,1,0,0,0,1920,1080,1,0,0,,,500.0,,2.5,AMD,AMD,windows
Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16,Intel UHD Graphics 620,1.2,99580,0,0,1,0,3200,1800,0,1,0,,,,512.0,1.8,Intel,Intel,windows
Apple,Ultrabook,13.3,Intel Core i5 1.6GHz,8,Intel HD Graphics 6000,1.35,53173,0,0,0,0,1440,900,0,0,1,256.0,,,,1.6,Intel,Intel,macos
Lenovo,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,Intel HD Graphics 500,1.44,13266,0,0,0,0,1366,768,0,0,1,64.0,,,,1.1,Intel,Intel,windows
Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4,Intel HD Graphics 620,2.1,19553,0,0,0,0,1366,768,1,0,0,,1.0,,,2.7,Intel,Intel,linux
Dell,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 530,2.8,52161,1,1,0,0,1920,1080,1,1,0,,1.0,,128.0,1.6,Intel,AMD,windows
HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.86,26037,0,0,0,0,1366,768,1,0,0,,1.0,,,2.5,Intel,Intel,windows
HP,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX ,2.1,46833,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Nvidia,windows
Asus,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 620,2.0,20725,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.0,Intel,Intel,linux
Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1060,2.65,79866,1,1,0,0,1920,1080,1,1,0,,1.0,,256.0,2.8,Intel,Nvidia,windows
Asus,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Nvidia GeForce 940MX,2.3,27864,0,0,0,0,1366,768,1,0,0,,1.0,,,2.5,Intel,Nvidia,linux
Acer,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4,Intel UHD Graphics 620,2.2,36336,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Dell,2 in 1 Convertible,17.3,Intel Core i5 8250U 1.6GHz,12,Nvidia GeForce 150MX,2.77,53226,1,0,1,0,1920,1080,1,0,0,,1.0,,,1.6,Intel,Nvidia,windows
Apple,Ultrabook,13.3,Intel Core i5 2.0GHz,8,Intel Iris Graphics 540,1.37,75604,0,1,0,1,2560,1600,0,1,0,,,,256.0,2.0,Intel,Intel,macos
Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,2.2,19660,0,0,0,0,1366,768,0,1,0,,,,128.0,2.0,Intel,Intel,freedos/other
Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,8,AMD Radeon RX 580,3.2,69210,1,0,0,0,1920,1080,1,1,0,,1.0,,256.0,3.0,AMD,AMD,windows
Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,AMD Radeon R5 M430,2.3,34045,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,AMD,windows
Asus,Notebook,17.3,Intel Pentium Quad Core N4200 1.1GHz,4,Nvidia GeForce 920MX,2.8,24828,0,0,0,0,1366,768,1,0,0,,1.0,,,1.1,Intel,Nvidia,windows
Lenovo,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4,Intel HD Graphics 400,0.69,16996,0,1,1,0,1920,1200,0,0,1,64.0,,,,1.44,Intel,Intel,freedos/other
Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce MX150,2.2,44808,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Nvidia,windows
HP,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4,AMD Radeon R4 Graphics,1.86,21231,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,AMD,AMD,windows
HP,Notebook,13.3,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,1.49,58767,1,0,0,0,1920,1080,0,1,0,,,,512.0,1.8,Intel,Intel,windows
Acer,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4,Intel HD Graphics 620,2.4,20459,0,0,0,0,1366,768,1,0,0,,1.0,,,2.4,Intel,Intel,windows
Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 520,2.13,40908,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,AMD,windows
HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,1.91,23389,1,0,0,0,1920,1080,0,1,0,,,,128.0,2.0,Intel,Intel,windows
Asus,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,2.0,31232,0,0,0,0,1366,768,0,1,0,,,,256.0,2.5,Intel,Intel,windows
MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1070,2.43,130482,1,0,0,0,1920,1080,1,1,0,,2.0,,256.0,2.8,Intel,Nvidia,windows
Asus,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,2.0,22111,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.0,Intel,Intel,linux
Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,AMD Radeon 530,2.8,69210,1,0,0,0,1920,1080,1,1,0,,2.0,,256.0,1.8,Intel,AMD,windows
Dell,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.7,46833,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Lenovo,Notebook,14.0,Intel Core i3 7130U 2.7GHz,8,Intel HD Graphics 620,1.7,31914,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Intel,freedos/other
Asus,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.4,50136,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.86,36763,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Intel,windows
Asus,Ultrabook,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,1.8,105654,1,0,0,0,1920,1080,0,1,0,,,,512.0,2.8,Intel,Nvidia,windows
HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4,AMD Radeon 520,1.86,23373,0,0,0,0,1366,768,1,0,0,,,500.0,,2.0,Intel,AMD,windows
HP,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4,Intel HD Graphics 400,1.44,12201,0,0,0,0,1366,768,0,1,0,,,,32.0,1.6,Intel,Intel,windows
Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.9,29250,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.5,Intel,Intel,windows
Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12,Nvidia GeForce GTX 1050 Ti,3.0,50562,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.8,Intel,Nvidia,linux
Microsoft,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.252,58021,0,0,1,0,2256,1504,0,1,0,,,,128.0,2.5,Intel,Intel,windows
Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 530,1.4,50882,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,AMD,windows
Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 530,2.2,46353,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,AMD,windows
MSI,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,2.7,58341,1,0,0,0,1920,1080,1,1,0,,1.0,,128.0,2.5,Intel,Nvidia,windows
Acer,Notebook,14.0,Intel Core i3 6006U 2GHz,8,Intel HD Graphics 520,2.1,20725,0,0,0,0,1366,768,1,0,0,,1.0,,,2.0,Intel,Intel,windows
Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,Nvidia GeForce GTX 1050,2.2,50562,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.8,Intel,Nvidia,windows
Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,2.2,27652,1,0,0,0,1920,1080,1,0,0,,2.0,,,2.5,Intel,Intel,freedos/other
Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,2.02,45554,1,0,0,0,1920,1080,1,1,0,,1.0,,128.0,1.8,Intel,Intel,windows
Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4,Nvidia GeForce MX130,2.2,28238,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.7,Intel,Nvidia,windows
HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX,2.5,52054,1,0,0,0,1920,1080,1,1,0,,1.0,,128.0,1.6,Intel,Nvidia,windows
Dell,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.88,58403,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Apple,Ultrabook,12.0,Intel Core i5 1.3GHz,8,Intel HD Graphics 615,0.92,80452,0,1,0,1,2304,1440,0,1,0,,,,512.0,1.3,Intel,Intel,macos
HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,Intel HD Graphics 620,1.63,45820,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Lenovo,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4,AMD R4 Graphics,2.2,21258,1,0,0,0,1920,1080,0,1,0,,,,128.0,2.5,AMD,AMD,windows
Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,2.1,21045,0,0,0,0,1366,768,1,0,0,,1.0,,,3.0,AMD,AMD,windows
Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,2.65,71874,1,1,0,0,1920,1080,1,1,0,,1.0,,128.0,2.8,Intel,Nvidia,windows
HP,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce GTX 940MX,1.83,37242,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Nvidia,windows
HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.96,31914,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Intel,windows
Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1060,2.2,77202,1,1,0,0,1920,1080,1,1,0,,1.0,,128.0,2.8,Intel,Nvidia,windows
Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,1.21,87858,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Intel,windows
Asus,Gaming,15.6,AMD FX 9830P 3GHz,8,AMD Radeon RX 560,2.45,37242,1,0,0,0,1920,1080,1,0,0,,1.0,,,3.0,AMD,AMD,windows
Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce MX150,2.2,36709,1,0,0,0,1920,1080,1,0,0,,1.0,,,1.8,Intel,Nvidia,windows
HP,Notebook,13.3,Intel Core i7 8550U 1.8GHz,16,Intel UHD Graphics 620,1.49,63776,1,0,0,0,1920,1080,0,1,0,,,,512.0,1.8,Intel,Intel,windows
Dell,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1060,2.65,63669,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Nvidia,windows
Asus,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,Intel HD Graphics 620,1.25,55890,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Intel,windows
Acer,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.5,45128,1,1,1,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,2.2,31962,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.7,Intel,AMD,linux
Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,2.2,25840,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.0,Intel,AMD,linux
Asus,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6,Nvidia GeForce 920M,2.0,30742,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.4,Intel,Nvidia,windows
HP,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,12,Nvidia GeForce GTX 1050,2.62,66546,1,1,0,0,1920,1080,1,1,0,,1.0,,128.0,2.8,Intel,Nvidia,windows
HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,AMD Radeon 530,1.91,38308,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,AMD,windows
HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4,AMD Radeon R2,2.1,18594,1,0,0,0,1920,1080,1,0,0,,,500.0,,1.5,AMD,AMD,windows
Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 520,2.2,34472,1,0,0,0,1920,1080,1,0,0,,1.0,,,1.6,Intel,AMD,linux
HP,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8,Nvidia GeForce MX150,1.38,59620,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Nvidia,windows
Microsoft,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.252,71395,0,0,1,0,2256,1504,0,1,0,,,,256.0,2.5,Intel,Intel,windows
HP,Notebook,14.0,Intel Core i5 7200U 2.5GHz,6,Nvidia GeForce 940MX,1.58,35111,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Nvidia,windows
Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,1.85,22105,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.0,Intel,Intel,windows
Asus,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,Nvidia GeForce 940MX,1.3,63563,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Nvidia,windows
MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,2.2,69210,1,0,0,0,1920,1080,1,1,0,,1.0,,256.0,2.8,Intel,Nvidia,windows
Lenovo,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8,Intel HD Graphics 620,1.58,78854,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Intel,windows
Asus,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce MX150,1.5,67239,1,0,0,0,1920,1080,1,1,0,,1.0,,256.0,1.8,Intel,Nvidia,windows
Dell,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8,Intel Iris Plus Graphics 640,1.23,73473,0,0,1,0,3200,1800,0,1,0,,,,256.0,2.4,Intel,Intel,windows
Lenovo,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.37,74538,1,1,1,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Intel,windows
HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,4,Intel UHD Graphics 620,1.63,38468,0,1,0,0,1366,768,1,0,0,,,500.0,,1.6,Intel,Intel,windows
Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.21,86793,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
HP,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.26,74538,1,1,1,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
HP,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,1.63,57755,1,0,0,0,1920,1080,0,1,0,,,,512.0,1.8,Intel,Intel,windows
Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce 940MX,2.16,60223,1,1,0,0,1920,1080,1,1,0,,1.0,,256.0,1.8,Intel,Nvidia,windows
Asus,Notebook,17.3,Intel Core i3 6006U 2GHz,4,Nvidia GeForce 920MX,2.0,30049,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.0,Intel,Nvidia,windows
Asus,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce 940MX,1.7,59567,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Nvidia,windows
Acer,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6,Intel HD Graphics 620,2.1,25521,1,1,1,0,1920,1080,1,0,0,,1.0,,,2.4,Intel,Intel,windows
MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1070,1.8,119427,1,0,0,0,1920,1080,1,1,0,,2.0,,256.0,2.8,Intel,Nvidia,windows
Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Nvidia GeForce 940MX,2.2,33513,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Nvidia,freedos/other
HP,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce 930MX ,2.5,67718,1,0,0,0,1920,1080,0,1,0,,,,512.0,1.8,Intel,Nvidia,windows
Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,2.1,24029,0,0,0,0,1366,768,0,1,0,,,,256.0,3.0,AMD,AMD,windows
HP,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,Intel HD Graphics 400,1.86,13799,0,0,0,0,1366,768,1,0,0,,,500.0,,1.6,Intel,Intel,freedos/other
HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.63,43263,1,0,0,0,1920,1080,1,0,0,,1.0,,,1.6,Intel,Intel,windows
Asus,Notebook,14.0,AMD E-Series 6110 1.5GHz,4,AMD Radeon R2,1.65,14811,0,0,0,0,1366,768,0,1,0,,,,64.0,1.5,AMD,AMD,windows
Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,AMD Radeon 530,2.8,74378,1,0,0,0,1920,1080,1,1,0,,2.0,,256.0,1.8,Intel,AMD,windows
HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,2.5,49443,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,AMD Radeon R7 M445,2.36,34045,0,0,0,0,1366,768,1,0,0,,1.0,,,2.5,Intel,AMD,windows
Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,2.2,23922,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.0,Intel,AMD,windows
Acer,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,1.6,47099,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Intel,windows
Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4,Nvidia GeForce MX130,2.2,30476,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,Nvidia,windows
HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,Intel HD Graphics 620,2.05,31861,0,0,0,0,1366,768,1,0,0,,1.0,,,2.7,Intel,Intel,windows
HP,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,1.63,52640,1,0,0,0,1920,1080,0,1,0,,,,256.0,1.8,Intel,Intel,windows
Lenovo,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,Intel HD Graphics 500,1.9,13445,0,0,0,0,1366,768,1,0,0,,1.0,,,1.1,Intel,Intel,freedos/other
Asus,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,3.0,49976,1,0,0,0,1920,1080,1,1,0,,1.0,,128.0,2.5,Intel,Nvidia,windows
Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,Nvidia GeForce 920MX,2.2,26586,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.5,Intel,Nvidia,freedos/other
HP,Notebook,13.3,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.32,37242,1,1,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Intel,windows
